Section,Variable,Source,Model,ScalarName,AnalysisType,Region,ScalarType,Units,Data
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM-FUN2.0,Overall Score,Relationships,bona,score,1,0.0175475
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM,Benchmark Period Mean (intersection),MeanState,global,scalar,Pg yr-1,95.378
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM,Benchmark Period Mean (complement),MeanState,global,scalar,Pg yr-1,0.211168
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM,Period Mean (original grids),MeanState,global,scalar,Pg yr-1,209.979
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM,Model Period Mean (intersection),MeanState,global,scalar,Pg yr-1,173.132
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM,Model Period Mean (complement),MeanState,global,scalar,Pg yr-1,30.742
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM,Benchmark Period Mean (intersection),MeanState,bona,scalar,Pg yr-1,2.92958
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM,Benchmark Period Mean (complement),MeanState,bona,scalar,Pg yr-1,0.00947465
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM,Period Mean (original grids),MeanState,bona,scalar,Pg yr-1,9.90257
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM,Model Period Mean (intersection),MeanState,bona,scalar,Pg yr-1,8.46466
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM,Model Period Mean (complement),MeanState,bona,scalar,Pg yr-1,1.03723
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM,Spatial Distribution Score,MeanState,global,score,1,0.661504
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM,Spatial Distribution Score,MeanState,bona,score,1,0.349204
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM,Phase Shift,MeanState,global,scalar,months,1.13263
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM,Seasonal Cycle Score,MeanState,global,score,1,0.810501
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM,Phase Shift,MeanState,bona,scalar,months,0.55288
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM,Seasonal Cycle Score,MeanState,bona,score,1,0.966141
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM,Bias,MeanState,global,scalar,g m-2 d-1,1.79038
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM,Bias Score,MeanState,global,score,1,0.196502
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM,Bias,MeanState,bona,scalar,g m-2 d-1,1.63322
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM,Bias Score,MeanState,bona,score,1,0.181566
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM,RMSE,MeanState,global,scalar,g m-2 d-1,2.23193
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM,RMSE Score,MeanState,global,score,1,0.408511
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM,RMSE,MeanState,bona,scalar,g m-2 d-1,2.12575
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM,RMSE Score,MeanState,bona,score,1,0.328899
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM,Overall Score,MeanState,global,score,1,0.497106
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM,Overall Score,MeanState,bona,score,1,0.430942
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM,Evapotranspiration Hellinger Distance,Relationships,global,scalar,1,0.457337
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM,Evapotranspiration RMSE Score,Relationships,global,score,1,0.0200195
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM,Evapotranspiration Hellinger Distance,Relationships,bona,scalar,1,0.342244
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM,Evapotranspiration RMSE Score,Relationships,bona,score,1,0.0149682
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM,Overall Score,Relationships,global,score,1,0.0200195
EcosystemandCarbonCycle,EcosystemRespiration,FLUXCOM,E3SM,Overall Score,Relationships,bona,score,1,0.0149682
EcosystemandCarbonCycle,LeafAreaIndex,MODIS,E3SM,Benchmark Period Mean (intersection),MeanState,global,scalar,1,1.35636
EcosystemandCarbonCycle,LeafAreaIndex,MODIS,E3SM,Benchmark Period Mean (complement),MeanState,global,scalar,1,1.99728
EcosystemandCarbonCycle,LeafAreaIndex,MODIS,E3SM,Period Mean (original grids),MeanState,global,scalar,1,2.24038
EcosystemandCarbonCycle,LeafAreaIndex,MODIS,E3SM,Model Period Mean (intersection),MeanState,global,scalar,1,2.30121
EcosystemandCarbonCycle,LeafAreaIndex,MODIS,E3SM,Model Period Mean (complement),MeanState,global,scalar,1,1.79089
EcosystemandCarbonCycle,LeafAreaIndex,MODIS,E3SM,Benchmark Period Mean (intersection),MeanState,bona,scalar,1,1.08558
EcosystemandCarbonCycle,LeafAreaIndex,MODIS,E3SM,Benchmark Period Mean (complement),MeanState,bona,scalar,1,0.840895
EcosystemandCarbonCycle,LeafAreaIndex,MODIS,E3SM,Period Mean (original grids),MeanState,bona,scalar,1,1.59873
EcosystemandCarbonCycle,LeafAreaIndex,MODIS,E3SM,Model Period Mean (intersection),MeanState,bona,scalar,1,1.77809
EcosystemandCarbonCycle,LeafAreaIndex,MODIS,E3SM,Model Period Mean (complement),MeanState,bona,scalar,1,0.736387
EcosystemandCarbonCycle,LeafAreaIndex,MODIS,E3SM,Spatial Distribution Score,MeanState,global,score,1,0.6481
EcosystemandCarbonCycle,LeafAreaIndex,MODIS,E3SM,Spatial Distribution Score,MeanState,bona,score,1,0.77631
EcosystemandCarbonCycle,LeafAreaIndex,MODIS,E3SM,Phase Shift,MeanState,global,scalar,months,1.90631
EcosystemandCarbonCycle,LeafAreaIndex,MODIS,E3SM,Seasonal Cycle Score,MeanState,global,score,1,0.649986
EcosystemandCarbonCycle,LeafAreaIndex,MODIS,E3SM,Phase Shift,MeanState,bona,scalar,months,1.90518
EcosystemandCarbonCycle,LeafAreaIndex,MODIS,E3SM,Seasonal Cycle Score,MeanState,bona,score,1,0.780275
EcosystemandCarbonCycle,LeafAreaIndex,MODIS,E3SM,Bias,MeanState,global,scalar,1,0.945777
EcosystemandCarbonCycle,LeafAreaIndex,MODIS,E3SM,Bias Score,MeanState,global,score,1,0.188736
EcosystemandCarbonCycle,LeafAreaIndex,MODIS,E3SM,Bias,MeanState,bona,scalar,1,0.690467
EcosystemandCarbonCycle,LeafAreaIndex,MODIS,E3SM,Bias Score,MeanState,bona,score,1,0.202836
EcosystemandCarbonCycle,LeafAreaIndex,MODIS,E3SM,RMSE,MeanState,global,scalar,1,1.37477
EcosystemandCarbonCycle,LeafAreaIndex,MODIS,E3SM,RMSE Score,MeanState,global,score,1,0.240639
EcosystemandCarbonCycle,LeafAreaIndex,MODIS,E3SM,RMSE,MeanState,bona,scalar,1,1.08762
